pm25,pm10,o3,no2,so2,co,aqi,temperature,humidity,pressure,wind_speed,city,timestamp,ingestion_timestamp,hour,day,month,day_of_week,target_aqi,target_day
17.1,36.4,115.0,5.7,6.5,0.189,62.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 00:00:00,2026-03-30 00:00:00,0,30,3,0,0.0,2026-04-02
17.1,32.7,115.0,7.3,8.0,0.254,62.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 01:00:00,2026-03-30 01:00:00,1,30,3,0,0.0,2026-04-02
19.0,33.1,116.0,9.4,10.0,0.342,62.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 02:00:00,2026-03-30 02:00:00,2,30,3,0,0.0,2026-04-02
20.3,39.8,119.0,10.3,11.5,0.389,62.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 03:00:00,2026-03-30 03:00:00,3,30,3,0,0.0,2026-04-02
20.2,41.6,127.0,8.7,12.1,0.357,63.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 04:00:00,2026-03-30 04:00:00,4,30,3,0,0.0,2026-04-02
20.5,43.2,138.0,5.8,12.2,0.284,63.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 05:00:00,2026-03-30 05:00:00,5,30,3,0,0.0,2026-04-02
20.7,44.6,145.0,3.6,12.1,0.23,68.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 06:00:00,2026-03-30 06:00:00,6,30,3,0,0.0,2026-04-02
20.3,45.1,147.0,2.8,11.7,0.217,76.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 07:00:00,2026-03-30 07:00:00,7,30,3,0,0.0,2026-04-02
19.6,45.9,145.0,2.7,11.2,0.222,84.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 08:00:00,2026-03-30 08:00:00,8,30,3,0,0.0,2026-04-02
19.2,45.8,143.0,3.1,11.0,0.232,90.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 09:00:00,2026-03-30 09:00:00,9,30,3,0,0.0,2026-04-02
18.7,44.8,141.0,3.6,11.4,0.245,96.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 10:00:00,2026-03-30 10:00:00,10,30,3,0,0.0,2026-04-02
18.1,43.3,138.0,4.6,12.2,0.264,102.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 11:00:00,2026-03-30 11:00:00,11,30,3,0,0.0,2026-04-02
14.5,34.0,133.0,6.6,13.0,0.286,106.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 12:00:00,2026-03-30 12:00:00,12,30,3,0,0.0,2026-04-02
15.5,34.8,124.0,10.4,13.7,0.314,107.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 13:00:00,2026-03-30 13:00:00,13,30,3,0,0.0,2026-04-02
17.9,34.2,110.0,15.5,14.6,0.346,104.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 14:00:00,2026-03-30 14:00:00,14,30,3,0,0.0,2026-04-02
20.1,39.9,101.0,18.9,15.0,0.366,96.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 15:00:00,2026-03-30 15:00:00,15,30,3,0,0.0,2026-04-02
20.4,42.5,98.0,19.2,14.7,0.371,87.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 16:00:00,2026-03-30 16:00:00,16,30,3,0,0.0,2026-04-02
21.3,43.4,99.0,17.9,13.9,0.366,77.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 17:00:00,2026-03-30 17:00:00,17,30,3,0,0.0,2026-04-02
22.1,44.9,101.0,16.0,12.8,0.347,67.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 18:00:00,2026-03-30 18:00:00,18,30,3,0,0.0,2026-04-02
22.5,47.5,104.0,13.5,11.4,0.306,65.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 19:00:00,2026-03-30 19:00:00,19,30,3,0,0.0,2026-04-02
23.1,51.8,108.0,10.5,9.7,0.251,66.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 20:00:00,2026-03-30 20:00:00,20,30,3,0,0.0,2026-04-02
24.1,57.2,111.0,8.2,8.4,0.212,66.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 21:00:00,2026-03-30 21:00:00,21,30,3,0,0.0,2026-04-02
25.2,62.2,112.0,6.2,7.7,0.184,66.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 22:00:00,2026-03-30 22:00:00,22,30,3,0,0.0,2026-04-02
25.5,62.6,111.0,5.0,7.4,0.172,67.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-30 23:00:00,2026-03-30 23:00:00,23,30,3,0,0.0,2026-04-02
23.0,53.2,114.0,5.5,7.3,0.214,67.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-31 00:00:00,2026-03-31 00:00:00,0,31,3,1,0.0,2026-04-03
23.4,52.4,106.0,11.9,8.5,0.378,68.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-31 01:00:00,2026-03-31 01:00:00,1,31,3,1,0.0,2026-04-03
26.6,53.1,94.0,20.5,10.1,0.597,68.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-31 02:00:00,2026-03-31 02:00:00,2,31,3,1,0.0,2026-04-03
27.9,56.1,91.0,24.8,11.8,0.709,69.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-31 03:00:00,2026-03-31 03:00:00,3,31,3,1,0.0,2026-04-03
24.7,58.9,103.0,20.6,13.5,0.608,70.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-31 04:00:00,2026-03-31 04:00:00,4,31,3,1,0.0,2026-04-03
23.8,55.4,122.0,12.2,15.2,0.402,70.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-31 05:00:00,2026-03-31 05:00:00,5,31,3,1,0.0,2026-04-03
23.7,53.3,136.0,5.8,16.2,0.247,70.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-31 06:00:00,2026-03-31 06:00:00,6,31,3,1,0.0,2026-04-03
22.8,50.4,140.0,4.0,16.1,0.214,71.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-31 07:00:00,2026-03-31 07:00:00,7,31,3,1,0.0,2026-04-03
22.3,48.7,140.0,4.1,15.3,0.233,71.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-31 08:00:00,2026-03-31 08:00:00,8,31,3,1,0.0,2026-04-03
22.3,47.4,138.0,4.6,14.5,0.255,71.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-31 09:00:00,2026-03-31 09:00:00,9,31,3,1,0.0,2026-04-03
22.3,45.8,137.0,4.8,13.7,0.266,72.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-31 10:00:00,2026-03-31 10:00:00,10,31,3,1,0.0,2026-04-03
21.5,43.3,135.0,5.3,12.9,0.281,81.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-31 11:00:00,2026-03-31 11:00:00,11,31,3,1,0.0,2026-04-03
19.7,39.2,132.0,6.8,13.5,0.293,90.0,0.0,0.0,0.0,0.0,"Karachi, Pakistan",2026-03-31 12:00:00,2026-03-31 12:00:00,12,31,3,1,0.0,2026-04-03
